Date,Breakfast Calories,Breakfast Protein,Lunch Calories,Lunch Protein,Dinner Calories,Dinner Protein,Snack Calories,Snack Protein,Total Calories,Total Protein
2024-08-25,346.8,29.8,634.0,41.7,727.7,23.4,288.0,7.1,1996,102
2024-08-26,358.3,17.1,604.7,39.4,523.9,20.8,106.5,6.4,1593,83
2024-08-27,352.5,11.6,631.4,27.0,686.4,48.6,153.6,9.9,1823,97
2024-08-28,345.9,26.3,621.9,23.5,678.3,34.1,209.2,11.5,1855,95
2024-08-29,436.8,10.7,693.2,28.6,768.5,28.3,225.9,8.9,2124,76
2024-08-30,326.1,29.5,639.3,26.7,521.2,40.5,105.2,6.9,1591,103
2024-08-31,200.1,23.6,656.7,27.1,791.4,42.1,260.6,5.9,1908,98
2024-09-01,454.3,10.6,636.3,46.8,480.6,39.6,235.0,13.3,1806,110
2024-09-02,444.2,23.2,564.4,25.7,680.8,47.3,104.1,11.3,1793,107
2024-09-03,486.0,18.8,784.8,20.4,587.0,41.2,142.0,8.3,1999,88
2024-09-04,481.4,24.4,565.8,40.3,478.7,44.1,196.1,8.8,1721,117
2024-09-05,318.3,11.6,706.4,36.9,742.3,43.1,274.0,15.0,2041,106
2024-09-06,283.5,20.7,441.7,40.8,497.3,27.5,138.2,10.3,1360,99
2024-09-07,441.7,16.0,409.4,20.2,792.8,28.9,171.4,7.4,1815,72
2024-09-08,491.1,18.9,733.8,49.7,666.8,40.3,132.8,9.0,2024,117
2024-09-09,354.9,24.9,414.7,34.0,478.5,43.9,190.7,9.6,1438,112
2024-09-10,230.9,18.1,405.2,33.8,649.2,47.3,147.6,12.2,1432,111
2024-09-11,406.5,18.3,645.8,48.3,745.0,31.3,291.2,5.1,2088,102
2024-09-12,498.3,10.5,403.1,33.9,681.1,37.9,249.6,12.4,1832,94
2024-09-13,359.3,22.5,576.3,33.1,481.6,42.3,189.2,11.0,1606,108
2024-09-14,337.7,29.5,591.4,41.3,605.0,32.5,104.7,13.4,1638,116
2024-09-15,339.8,26.8,634.8,21.1,417.6,33.5,267.8,8.5,1659,89
2024-09-16,208.9,11.4,550.2,28.0,516.4,42.7,209.7,12.8,1485,94
2024-09-17,489.5,24.7,592.8,37.8,447.3,25.2,229.8,6.0,1759,93
2024-09-18,376.6,15.9,674.3,26.9,685.6,20.0,146.0,11.9,1882,74
2024-09-19,326.3,21.1,640.3,30.3,412.4,35.4,194.9,14.8,1573,101
2024-09-20,282.3,22.4,702.5,39.0,480.8,38.3,117.8,12.6,1583,112
2024-09-21,341.9,19.7,723.7,27.9,689.5,35.6,280.6,13.5,2035,96
2024-09-22,258.7,27.9,495.2,41.3,610.0,33.1,263.6,14.0,1627,116
2024-09-23,455.7,19.5,581.0,24.0,526.9,47.0,118.6,8.0,1682,98
2024-09-24,42.0,24.0,508.2,33.8,427.2,40.3,150.5,8.9,1127,107
